sku;id;nome;marca;expressao;categoria;subcategoria;tipo;pais;teor_alcoolico;embalagem;volume_ml;volume;preco_unitario;preco_por_litro;unidades_por_caixa;ean;imagem_status;confirmar_antes_de_publicar;confirmar_se_sobrar_tempo
MC-WH-001;wh-1;Aperitivo Malt Whisky Canela Firebird;Firebird;Canela;Whisky;Aperitivo de Whisky;Aperitivo de malt whisky com canela;Brasil;;Garrafa de vidro;950;950ml;25,00;26,32;;;pendente;;abv | fabricante
MC-WH-002;wh-2;Whisky Ballantines Finest;Ballantine's;Finest;Whisky;Scotch Blended;Blended Scotch Whisky;Escócia;40;Garrafa de vidro;1000;1L;99,00;99,00;;;ok;;
MC-WH-003;wh-3;Whisky Black Stone;Black Stone;;Whisky;Whisky Nacional;Whisky blended nacional;Brasil;;Garrafa de vidro;1000;1L;23,50;23,50;;;pendente;;abv | fabricante
MC-WH-004;wh-4;Whisky Chivas Regal 12 Anos;Chivas Regal;12 Anos;Whisky;Scotch Blended;Blended Scotch Whisky 12 anos;Escócia;40;Garrafa de vidro;1000;1L;170,43;170,43;;;ok;;
MC-WH-005;wh-5;Whisky Jack Daniel's Apple;Jack Daniel's;Tennessee Apple;Whisky;Whiskey Americano;Licor de whiskey com maçã;Estados Unidos;35;Garrafa de vidro;1000;1L;155,00;155,00;;;pendente;;
MC-WH-006;wh-6;Whisky Jack Daniel's Blackberri;Jack Daniel's;Tennessee Blackberri;Whisky;Whiskey Americano;Licor de whiskey com amora;Estados Unidos;35;Garrafa de vidro;1000;1L;165,00;165,00;;;pendente;;
MC-WH-007;wh-7;Whisky Jack Daniel's Fire;Jack Daniel's;Tennessee Fire;Whisky;Whiskey Americano;Licor de whiskey com canela;Estados Unidos;35;Garrafa de vidro;1000;1L;155,00;155,00;;;ok;;
MC-WH-008;wh-8;Whisky Jack Daniel's Old Nº 7;Jack Daniel's;Old Nº 7;Whisky;Whiskey Americano;Tennessee Whiskey;Estados Unidos;40;Garrafa de vidro;1000;1L;155,00;155,00;;;ok;;
MC-WH-009;wh-9;Whisky Jack Daniel's Honey;Jack Daniel's;Tennessee Honey;Whisky;Whiskey Americano;Licor de whiskey com mel;Estados Unidos;35;Garrafa de vidro;1000;1L;155,00;155,00;;;ok;;
MC-WH-010;wh-10;Whisky Jim Beam Bourbon;Jim Beam;White Label;Whisky;Whiskey Americano;Kentucky Straight Bourbon Whiskey;Estados Unidos;40;Garrafa de vidro;1000;1L;119,90;119,90;;;ok;;
MC-WH-011;wh-11;Whisky Johnnie Walker Black Label;Johnnie Walker;Black Label;Whisky;Scotch Blended;Blended Scotch Whisky 12 anos;Escócia;40;Garrafa de vidro;1000;1L;179,90;179,90;;;ok;;
MC-WH-012;wh-12;Whisky Johnnie Walker Red Label;Johnnie Walker;Red Label;Whisky;Scotch Blended;Blended Scotch Whisky;Escócia;40;Garrafa de vidro;1000;1L;99,90;99,90;;;ok;;
MC-WH-013;wh-13;Whisky Natu Nobilis;Natu Nobilis;;Whisky;Whisky Nacional;Aperitivo de whisky (classificação brasileira);Brasil;39;Garrafa de vidro;1000;1L;55,00;55,00;;;pendente;;
MC-WH-014;wh-14;Whisky Passport;Passport;Scotch;Whisky;Scotch Blended;Blended Scotch Whisky;Escócia;40;Garrafa de vidro;1000;1L;58,00;58,00;;;ok;;
MC-WH-015;wh-15;Whisky White Horse;White Horse;;Whisky;Scotch Blended;Blended Scotch Whisky;Escócia;40;Garrafa de vidro;1000;1L;89,90;89,90;;;ok;;
MC-VK-001;vk-1;Vodka Absolut;Absolut;Original;Vodka;Vodka Importada;Vodka de trigo;Suécia;40;Garrafa de vidro;1000;1L;99,90;99,90;;;ok;;
MC-VK-002;vk-2;Vodka Cîroc Original;Cîroc;Original;Vodka;Vodka Importada;Vodka de uva;França;40;Garrafa de vidro;750;750ml;275,00;366,67;;;ok;;
MC-VK-003;vk-3;Vodka Grey Goose;Grey Goose;Original;Vodka;Vodka Importada;Vodka de trigo;França;40;Garrafa de vidro;750;750ml;175,00;233,33;;;ok;;
MC-VK-004;vk-4;Vodka Natasha;Natasha;;Vodka;Vodka Nacional;Vodka nacional;Brasil;;Garrafa de vidro;900;900ml;25,00;27,78;;;pendente;;abv | fabricante
MC-VK-005;vk-5;Vodka Orloff;Orloff;;Vodka;Vodka Nacional;Vodka nacional;Brasil;37.5;Garrafa de vidro;1000;1L;35,70;35,70;;;ok;;
MC-VK-006;vk-6;Vodka Rajska Traditional;Rajska;Traditional;Vodka;Vodka Nacional;Vodka nacional;Brasil;37.5;Garrafa de vidro;1000;1L;22,00;22,00;;;pendente;;
MC-VK-007;vk-7;Vodka Rajska Apple;Rajska;Apple;Vodka;Vodka Saborizada;Vodka saborizada de maçã;Brasil;35;Garrafa de vidro;1000;1L;28,00;28,00;;;pendente;;
MC-VK-008;vk-8;Vodka Rajska Red Fruits;Rajska;Red Fruits;Vodka;Vodka Saborizada;Vodka saborizada de frutas vermelhas;Brasil;;Garrafa de vidro;1000;1L;28,00;28,00;;;pendente;;abv
MC-VK-009;vk-9;Vodka Smirnoff 21;Smirnoff;Nº 21;Vodka;Vodka Nacional;Vodka tripla destilação;Brasil;37.5;Garrafa de vidro;998;998ml;40,00;40,08;;;ok;;
MC-GN-001;gn-1;Gin Gordon's London Dry;Gordon's;London Dry;Gin, Tequila e Rum;Gin;London Dry Gin;Reino Unido;37.5;Garrafa de vidro;750;750ml;89,90;119,87;;;ok;;
MC-GN-002;gn-2;Gin Rock's Traditional;Rock's;Traditional;Gin, Tequila e Rum;Gin;Gin nacional;Brasil;;Garrafa de vidro;1000;1L;35,00;35,00;;;pendente;;abv | fabricante
MC-GN-003;gn-3;Gin Rock's Strawberry;Rock's;Strawberry;Gin, Tequila e Rum;Gin;Gin nacional saborizado com morango;Brasil;;Garrafa de vidro;1000;1L;35,00;35,00;;;pendente;;abv | fabricante
MC-GN-004;gn-4;Gin Seagers Original;Seagers;Original;Gin, Tequila e Rum;Gin;Gin nacional;Brasil;45.3;Garrafa de vidro;1000;1L;59,00;59,00;;;ok;;abv
MC-GN-005;gn-5;Gin Tanqueray London Dry;Tanqueray;London Dry;Gin, Tequila e Rum;Gin;London Dry Gin;Reino Unido;;Garrafa de vidro;750;750ml;133,90;178,53;;;ok;;abv
MC-GN-006;gn-6;Tequila Jose Cuervo Reposado;José Cuervo;Especial Reposado;Gin, Tequila e Rum;Tequila;Tequila Reposado;México;38;Garrafa de vidro;750;750ml;139,90;186,53;;;ok;;abv
MC-GN-007;gn-7;Tequila Jose Cuervo Silver;José Cuervo;Especial Silver;Gin, Tequila e Rum;Tequila;Tequila Silver;México;38;Garrafa de vidro;750;750ml;139,90;186,53;;;ok;;abv
MC-RM-001;rm-1;Rum Bacardi Big Apple;Bacardi;Big Apple;Gin, Tequila e Rum;Rum Saborizado;Bebida à base de rum com maçã;Brasil;35;Garrafa de vidro;700;700ml;55,00;78,57;;;ok;volume;origem
MC-RM-002;rm-2;Rum Bacardi Carta Blanca Superior;Bacardi;Carta Blanca Superior;Gin, Tequila e Rum;Rum;Rum branco;Brasil;;Garrafa de vidro;980;980ml;52,50;53,57;;;ok;;abv | origem
