ID;PRODUTO;CATEGORIA;VOLUME;PRECO_TABELA_VAREJO;STATUS_ESTOQUE;PRECO_PROMOCIONAL
wh-1;Aperitivo Malt Whisky Canela Firebird;Whisky;950ml;25,00;DISPONIVEL;
wh-2;Whisky Ballantines Finest;Whisky;1L;99,00;DISPONIVEL;
wh-3;Whisky Black Stone;Whisky;1L;23,50;DISPONIVEL;
wh-4;Whisky Chivas Regal 12 Anos;Whisky;1L;170,43;DISPONIVEL;
wh-5;Whisky Jack Daniel's Apple;Whisky;1L;155,00;DISPONIVEL;
wh-6;Whisky Jack Daniel's Blackberri;Whisky;1L;165,00;DISPONIVEL;
wh-7;Whisky Jack Daniel's Fire;Whisky;1L;155,00;DISPONIVEL;
wh-8;Whisky Jack Daniel's Old Nº 7;Whisky;1L;155,00;DISPONIVEL;
wh-9;Whisky Jack Daniel's Honey;Whisky;1L;155,00;DISPONIVEL;
wh-10;Whisky Jim Beam Bourbon;Whisky;1L;119,90;DISPONIVEL;
wh-11;Whisky Johnnie Walker Black Label;Whisky;1L;179,90;DISPONIVEL;
wh-12;Whisky Johnnie Walker Red Label;Whisky;1L;99,90;DISPONIVEL;
wh-13;Whisky Natu Nobilis;Whisky;1L;55,00;DISPONIVEL;
wh-14;Whisky Passport;Whisky;1L;58,00;DISPONIVEL;
wh-15;Whisky White Horse;Whisky;1L;89,90;DISPONIVEL;
vk-1;Vodka Absolut;Vodka;1L;99,90;DISPONIVEL;
vk-2;Vodka Cîroc Original;Vodka;750ml;275,00;DISPONIVEL;
vk-3;Vodka Grey Goose;Vodka;750ml;175,00;DISPONIVEL;
vk-4;Vodka Natasha;Vodka;900ml;25,00;DISPONIVEL;
vk-5;Vodka Orloff;Vodka;1L;35,70;DISPONIVEL;
vk-6;Vodka Rajska Traditional;Vodka;1L;22,00;DISPONIVEL;
vk-7;Vodka Rajska Apple;Vodka;1L;28,00;DISPONIVEL;
vk-8;Vodka Rajska Red Fruits;Vodka;1L;28,00;DISPONIVEL;
vk-9;Vodka Smirnoff 21;Vodka;998ml;40,00;DISPONIVEL;
gn-1;Gin Gordon's London Dry;Gin & Tequila;750ml;89,90;DISPONIVEL;
gn-2;Gin Rock's Traditional;Gin & Tequila;1L;35,00;DISPONIVEL;
gn-3;Gin Rock's Strawberry;Gin & Tequila;1L;35,00;DISPONIVEL;
gn-4;Gin Seagers Original;Gin & Tequila;1L;59,00;DISPONIVEL;
gn-5;Gin Tanqueray London Dry;Gin & Tequila;750ml;133,90;DISPONIVEL;
gn-6;Tequila Jose Cuervo Reposado;Gin & Tequila;750ml;139,90;DISPONIVEL;
gn-7;Tequila Jose Cuervo Silver;Gin & Tequila;750ml;139,90;DISPONIVEL;
rm-1;Rum Bacardi Big Apple;Gin & Tequila;700ml;55,00;DISPONIVEL;
rm-2;Rum Bacardi Carta Blanca Superior;Gin & Tequila;980ml;52,50;DISPONIVEL;
rm-3;Rum Bacardi Gold;Gin & Tequila;980ml;55,00;DISPONIVEL;
